Title,Date,Content,URL,Source
"North Korean celebrity defector ‘returns home,’ calling South a ‘capitalist hell’",7/19/2017," South Korea is investigating the case of a North Korean defector who became a celebrity refugee in Seoul, but recently appeared on Pyongyang television to claim she had returned home from the “hell” of the capitalist South.

Lim Ji-hyeon, a female defector in her 20s, arrived in Seoul in 2014 and soon became a public figure after starring in several South Korean TV shows featuring escapees from the North.

But on Sunday, Lim abruptly appeared in a video on the North’s propaganda network, describing how her “fantasy” about the wealthy South had been shattered.

In the video, posted on the North’s Uriminzokkiri website, Lim said she had “returned home” last month and was now living with her family in the western city of Anju.

It is unclear whether Lim returned voluntarily, with South Korean media speculating that she might have been kidnapped at the Chinese border with the North while trying to reunite with her family.

Police sources who probed Lim’s home and financial accounts in Seoul told the South’s JoongAng Ilbo daily there was little sign of her trying to wrap up her life in the country and move elsewhere.

“Relevant authorities are investigating the North Korean defector Lim Ji-hyeon,” said Lee Yoo-jin, deputy spokeswoman of Seoul’s Unification Ministry handling North Korea affairs. Seoul’s spy agency declined to comment.

In the video, Lim identified herself as Chon Hae Song, which she said was her real name in the North.

Wearing a traditional silk “hanbok” dress and red badge bearing the images of the North’s two former leaders, Kim Il Sung and Kim Jong Il, Lim tearfully detailed her “miserable” life in the capitalist neighbor, where “money is all that matters.”

“I went to South Korea harbouring this fantasy that I would able to eat and live well and make a lot of money there, but the South was not the place I imagined,” she said, adding she had wanted to become an actress in Seoul.

“Every single day in the South was like hell. Every night … I cried thinking about my motherland and my parents in the North,” she told her interviewers.

Lim also accused a South Korean TV station of pushing her to lie about her life in the North to make it sound more miserable than it actually was.

“Everything I said on TV was scripted … to make North Koreans look barbaric, ignorant and stupid,” she said, describing herself as “human trash” for defaming her motherland.

Other defectors who have reappeared in the North have been displayed on similar programs, prompting speculation they had been kidnapped or coerced into returning by threats to their families to serve Pyongyang’s propaganda.

Many defectors who reach the South hire brokers to take their remaining family out of the North through the border with China, and some even visit the Chinese border areas themselves — a dangerous move in a region monitored and frequented by North Korean agents.

More than 30,000 North Koreans have fled poverty and repression in the isolated homeland and settled in the South.

But many complain of lack of opportunities, discrimination and difficulty in adjusting to the cutthroat, ultracompetitive society.

A recent survey showed more than 60 percent of defectors consider themselves “low-class citizens,” with the average suicide rate among them at 15 percent — nearly three times the South’s national average, which is already the world’s highest.

Lee So-yool, another North Korean defector and TV celebrity in Seoul, however said Lim would have been broadcast criticizing the South regardless of whether she had returned to the North voluntarily or forcibly.

“She has to do it once she is back in the North. She has no choice in order to survive,” Lee said during a live YouTube broadcast Monday.

Lee said the North Korea-themed TV shows aired on South Korean TV — including ones that featured Lim — are hated by the Pyongyang regime for freely discussing issues that are taboos in the North.

“These TV shows let the refugees freely talk about things including the luxurious lifestyle of the ruling Kim family — which is totally banned in the North,” Lee said.",http://www.japantimes.co.jp/news/2017/07/19/asia-pacific/south-korea-investigating-north-korean-celebrity-defector-returned-home/#.WW-Q-YgrK00,japan_times
Moon seeks deal by 2020 for peace with nuclear-free North Korea,7/19/2017,"South Korean President Moon Jae-in is seeking a deal with North Korea in 2020 to bring about the “complete denuclearization” of the isolated nation in return for a peace treaty that would guarantee the survival of Kim Jong Un’s regime.

Moon, an advocate of dialogue and exchange with North Korea, set out his ambitious goal Wednesday in a special presidential Blue House report outlining his objectives for his five-year term. While the government this week proposed talks with Pyongyang, it’s the first time the new president has provided a timeline for his engagement policy.

“We will come up with a negotiation plan for comprehensive denuclearization that will lead a nuclear freeze to a complete dismantling,” of weapons, the Blue House said in the report, which stated Moon would propose a road map this year. “The treaty will be signed when denuclearization is complete and the peace regime will be maintained in a stable way.”

Moon, who took office May 10, is looking to ease tensions over Kim’s pursuit of a nuclear missile capable of striking the U.S. mainland. His Defense Ministry has offered talks with Pyongyang, while the National Red Cross has floated preparatory discussions for reunions of families split by the 1950-53 Korean War.

While his olive-branch approach doesn’t differ greatly from U.S. President Donald Trump’s policy of “maximum pressure and engagement,” the devil will be in the details, according to analyst Ralph Cossa.

“Moon apparently has Trump’s support in playing a lead role in dealing with the North,” Cossa, president of the Pacific Forum CSIS in Honolulu, said before the statement was released. “Both have agreed to a mix of pressure and dialogue but neither is an end in itself. The end is changing North Korea behavior, and the prospects of that remain very slim.”

Cossa added that Moon’s desire to take the lead on nuclear discussions is “a total no-starter” for Kim, who is seeking discussions with the U.S. as it is also a nuclear power. North Korea has signaled a willingness to consider Moon’s overtures, but has voiced skepticism about the prospects for a breakthrough.

On Saturday, North Korea’s official Rodong Sinmun newspaper criticized Moon’s approach as a “series of sleep-talking sophistries that create even greater hurdles” to talks. Still, the paper expressed “relief” that Moon has signaled a departure from the policies of his conservative predecessors.

The reclusive state has yet to respond to Moon’s demilitarization timetable.

North Korea is likely to agree to military talks by suggesting an alternative date and “there are a few easy carrots for Moon to offer, such as an end to propaganda broadcasts and balloons,” said Cossa. The sticking point is that Kim will want more than Moon can promise, such as an end to the South Korea-U.S. joint military drills.

Trump has also signaled his frustration with the pace of efforts by China, North Korea’s longtime ally and top trading partner, to pressure Kim back to the bargaining table. The stakes have risen for the U.S. president after North Korea’s first successful test July 4 of an intercontinental ballistic missile that analysts say could reach Alaska, if not continental America.

Wednesday’s report details 100 tasks that Moons plans to tackle during his single, five-year term. While they also cover areas such as the domestic economy and welfare policies, below are some of his objectives for relations on the Korean Peninsula:

Seek early return of wartime operational control to South Korea from the U.S.

Connect the two Koreas by building an energy belt along the east coast to Russia, a logistics and transportation belt on the west coast, and a tourism belt around the demilitarized zone on the border

Establishment of an inter-Korean joint market, if conditions allow, to boost private sector economic exchanges

Reopen the joint industrial park on the northern side of the border and resume tourist visits to North Korea’s Mount Geumgang — again, if conditions improve

Complete the nation’s three main defense systems earlier than scheduled in early-2020: Kill Chain, aimed at striking North Korea’s nuclear and missile system; Korea Air & Missile Defense to intercept North Korean missiles targeting South Korea; Korea Massive Punishment & Retaliation to remove the North’s leadership should it use nuclear weapons",http://www.japantimes.co.jp/news/2017/07/19/asia-pacific/politics-diplomacy-asia-pacific/moon-seeks-deal-2020-peace-nuclear-free-north-korea/#.WW-RBYgrK00,japan_times
"Kim’s North Korea gains a little economically, a lot militarily",7/16/2017,"Ruthless dictator? Economic reformer? Shrewd master of nuclear brinkmanship?

When Kim Jong Un took control of North Korea in late 2011, speculation swirled around the young, Swiss-educated leader. What would he do for an economically backward authoritarian nation that had been in a high-stakes nuclear standoff with its neighbors and Washington for years?

Almost six years later, there are still unanswered questions, but some things about Kim have come into focus. His rule has actually seen the economy improve, and when it comes to the nuclear drive, it’s obvious that Kim, who rattled nerves recently by test-firing his country’s first intercontinental ballistic missile, has a more uncompromising stance than his late father, Kim Jong Il, who occasionally sat down for talks with Washington meant to gain concessions.

Jong Un seems uninterested in negotiations until he perfects a nuclear missile capable of striking anywhere in the United States.

The stance has so far worked, and he’ll likely achieve the badly needed nuclear deterrence against the United States fairly soon if he’s not stopped.

Here’s a look at Kim’s nuclear gamble and what the future might hold.

In a different direction

His father, who ruled North Korea from 1994 to 2011, also ordered a series of weapons tests, but he let diplomats pursue now-dormant international disarmament-for-aid deals.

No such talks have happened under Jong Un. He has overseen three of the North’s five atomic test explosions and both of its successful satellite launches, which are seen by the U.N. as a disguised test of long-range missile technology.

And then there’s the July 4 ICBM launch, the North’s most successful missile test to date. Afterward, Kim said he will never put his nuclear and missile programs on the negotiating table as long as U.S. hostility and nuclear threats persist.

What accounts for Kim’s boldness?

It might just be his nature. Kim, believed to be around 33, may have strategically chosen to push the nuclear program after determining that the United States won’t attack because of fears that a North Korean retaliation would cause enormous casualties in South Korea.

Kim may also have determined that China, North Korea’s main ally and aid benefactor, might agree to tougher international sanctions against North Korea but would stop short of doing anything to bring down Kim’s government, which could trigger a flood of refugees over their shared border and potentially a unified Korea with U.S.-allied Seoul in charge.

North Korea’s small yet gradual economic growth in recent years has also allowed Kim to focus on furthering his nuclear ambitions. His father, by comparison, resorted to outside handouts to feed many of his 24 million people after a devastating famine in the mid-1990s killed tens of thousands.

Nuclear is ‘treasured sword’

Kim’s propaganda machine argues that the nuclear deterrence is a “treasured sword” meant to cope with U.S. aggression.

“Kim doesn’t want to resolve issues through diplomacy. He’s just trying to protect himself by reinforcing his country’s military power,” said analyst Cheong Seong-chang at South Korea’s Sejong Institute.

Since his inauguration, Kim has not met any foreign leaders or traveled abroad. The most high-profile foreigner he has met: former NBA star Dennis Rodman, who regaled him with a rendition of “Happy Birthday” at an exhibition game during one of several trips to Pyongyang.

Kim has repeatedly promised to achieve Korean unification, and he likely thinks his nuclear bombs will deter U.S. involvement in the event of another war on the Korean Peninsula. “If North Korea demonstrates its ability to strike Washington and New York . . . and threatens to turn them into a sea of fire, the U.S. couldn’t easily enter a war,” Cheong said.

After perfecting a functioning ICBM, which could take a couple of years, Kim could push for talks to win big outside concessions in return for imposing a moratorium on nuclear and missile activities. Even so, he won’t likely give up his already-developed weapons.

In the event of such talks, Kim would likely want big aid packages, the suspension of annual U.S.-South Korean military drills that North Korea views as an invasion rehearsal, and the signing of a peace treaty officially ending the 1950-53 Korean War, which would allow him to push for the withdrawal of the 28,500 American troops stationed in South Korea.

Establish absolute power

Kim’s dogged quest for nuclear weapons may also relate to his hunger to be seen by his people as a strong leader and to establish the same absolute power held by his father and his grandfather, national founder Kim Il Sung.

This would make it hard for him to back off.

“He cannot give up nukes because they are the core of his power,” said Cho Han-bum, an analyst at South Korea’s Korea Institute for National Unification.

The North Korean ICBM could be capable of reaching Alaska, but weapons experts say the North still needs to master several more technologies before the missile will work perfectly.

When that happens, the United States might reconsider military strikes so as not to let other rogue states think they could get their own nuclear programs if they simply hold out, Cho said.

Aside from a U.S. attack, the most painful measure against North Korea could be a Chinese suspension or drastic scaling back of its oil shipments to the North.

China sends about 500,000 tons of crude oil to North Korea, mostly for free, every year. That accounts for 80-90 percent of the North’s domestic consumption, according to Cho Bong-hyun of Seoul’s IBK Economic Research Institute.

It’s not clear if China would suspend the shipments even if North Korea’s nuclear threat becomes more dangerous. But if a suspension happens, the North’s military, the backbone of Kim’s rule, would suffer because it cannot effectively fly warplanes and operate tanks without oil.

That will lead to Kim’s grip on power loosening, Cheong predicts.

“We can see he’s so far run North Korea in a smarter way than his father because the economic conditions have improved and the military power has been bolstered,” Cheong said. “But there is a high possibility that his adventurous, uncompromising attitude will eventually make things turn out badly.”",http://www.japantimes.co.jp/news/2017/07/16/asia-pacific/kims-north-korea-gains-little-economically-lot-militarily/#.WW-RF4grK00,japan_times
"North Korea may have more nuclear bomb material than thought, U.S. think tank says",7/15/2017,"Thermal images of North Korea’s main nuclear site show Pyongyang may have reprocessed more plutonium than previously thought that can be used to enlarge its nuclear weapons stockpile, a U.S. think tank has said.

The analysis published Friday by 38 North, a Washington-based North Korean monitoring project, was based on satellite images of the radiochemical laboratory at the Nyongbyon nuclear plant from September until the end of June, amid rising international concerns over North Korea’s nuclear and missile programs.

The think tank said images of the uranium enrichment facility at Nyongbyon could also indicate operation of centrifuges that could be used to increase North Korea’s stock of enriched uranium, its other source of bomb fuel.

There were signs too of at least short-term activity at North Korea’s Experimental Light Water Reactor that could be cause for concern, 38 North said.

The images of the radiochemical laboratory showed there had been at least two reprocessing cycles not previously known aimed at producing “an undetermined amount of plutonium that can further increase North Korea’s nuclear weapons stockpile,” something that would worry U.S. officials who see Pyongyang as one of the world’s top security threats.

It was unclear if the thermal activity detected at the uranium plant was the result of centrifuge operations or maintenance.

It said the thermal patterns at the plant’s isotope/tritium production facility suggested it was not operational and was therefore not producing tritium, an essential isotope used in boosted yield and hydrogen weapons.

North Korea manufactures atomic bombs using uranium and plutonium and has tested five nuclear bombs. Officials and experts say it could test a sixth at any time, despite U.S.-led international efforts to curb its program.

Pyongyang said its penultimate test in January 2016 was of a hydrogen bomb, something experts have treated with skepticism.

North Korea has been working to develop a nuclear-tipped missile capable of hitting the United States and last week tested its first intercontinental ballistic missile, which experts said could hit all of Alaska and parts of the U.S. Pacific Northwest.

Frustrated that China, North Korea’s main trading partner, has not done more to rein in Pyongyang, the Trump administration could impose new sanctions on small Chinese banks and other companies doing business with Pyongyang within weeks, two senior U.S. officials said this week.

U.S. Ambassador to the United Nations Nikki Haley has been seeking to overcome resistance from China and Russia to a U.N. Security Council resolution imposing stiffer international sanctions on Pyongyang.

North Korea said Friday that it will take “corresponding measures” if the U.N. Security Council adopts another sanctions resolution in response to its ICBM test-launch.

The North’s Foreign Ministry said in a statement carried by the official Korean Central News Agency that the ICBM test was an exercise of its legitimate right to self-defense against nuclear threat from the United States.

Experts at 38 North estimated in April that North Korea could have as many as 20 nuclear bombs and could produce one more each month.",http://www.japantimes.co.jp/news/2017/07/15/asia-pacific/north-korea-may-nuclear-bomb-material-thought-u-s-think-tank-says/#.WW-T4IgrK01,japan_times
"North Korean ICBM ‘likely’ to be able to strike San Diego within two years, analysis says",7/11/2017,"North Korea’s new long-range ballistic missile will “likely” be able to strike targets on the U.S. West Coast — including San Diego — with a 500-kilogram nuclear warhead in the next one to two years, the U.S.-based monitoring group has said in an analysis.

The influential 38 North website, run by the U.S.-Korea Institute at Johns Hopkins University, said in the report released Monday that the North’s test last week of an intercontinental ballistic missile, the Hwasong-14, highlighted the isolated regime’s technological shortcomings — but also its advances.

While earlier reports said the ICBM could have traveled some 7,000-8,000 km if launched on a standard rather than “lofted” trajectory, aerospace engineer John Schilling said in the analysis, adding that “it can probably do a bit better than that when all the bugs are worked out.”

At present, he said, it “would be lucky to hit even a city-sized target.”

But once the technology is refined, a missile carrying a 500-kg warhead could potentially hit targets up to 9,700 km away, according to Schilling’s projections.

“With a year or two of additional testing and development, it will likely become a missile that can reliably deliver a single nuclear warhead to targets along the U.S. west coast, possibly with enough accuracy to destroy soft military targets like naval bases” such as the one in San Diego, he wrote.

“The North Koreans won’t be able to achieve this performance tomorrow, but they likely will eventually,” he wrote, citing the missile’s re-entry vehicle as the primary challenge facing Pyongyang presently.

In a separate announcement Tuesday, South Korea’s spy agency disputed the North’s claim that it had mastered the re-entry vehicle technology on the Hwasong-14.

“Although North Korea claimed that (the missile’s) heat resistance was verified, whether it re-entered (the atmosphere safely) was not confirmed and the country has no relevant test facility, making it look like it has not secured the technology,” the South’s Yonhap news agency quoted the country’s National Intelligence Service as telling a parliamentary intelligence committee.

The technology is crucial for protecting a warhead from the intense heat encountered when a missile re-enters the atmosphere.

North Korean state media said after the launch that it had verified “all technical features of the payload of the rocket during its atmospheric re-entry, including the heat-resisting features and structural safety of the warhead tip.”

Washington has called the ICBM test “a new escalation of the threat to the United States,” Japan and South Korea, and U.S. Secretary of State Rex Tillerson said last week that “global action … to stop a global threat” was required.

For his part, North Korean leader Kim Jong Un, has said he will continue to dole out “gift packages” of missile and atomic tests in spite of growing international pressure.",http://www.japantimes.co.jp/news/2017/07/11/asia-pacific/north-korean-icbm-likely-able-strike-san-diego-two-years-analysis-says/#.WW-RSogrK00,japan_times
"Large quake off North Korea coast ‘not a nuclear test,’ report says",7/13/2017," An undersea earthquake off the coast of North Korea was not caused by a nuclear test, the South’s media reported Thursday.

The 5.9 magnitude quake struck about 190 km (120 miles) southeast of the reclusive state’s third-largest city, Chongjin, in the early hours of Thursday, according to the United States Geological Survey.

North Korea has staged five nuclear tests — including two last year — and has made significant progress in its missile capability under Kim Jong Un, who took power in 2011.

But the quake, which did not trigger a tsunami warning, was not caused by a nuclear test, Yonhap news agency reported USGS geophysicist John Bellini as saying.

“It occurred at 500 km below the seabed,” he told the agency.

“It’s a natural earthquake.”

Tensions between Pyongyang and the U.S. soared earlier this month when the North test-fired an intercontinental ballistic missile for the first time, an apparent game-changer in its confrontation with Washington over its nuclear arms and missile programs.",http://www.japantimes.co.jp/news/2017/07/13/asia-pacific/report-m5-9-temblor-off-north-korea-not-nuclear-test/#.WW-RNYgrK00,japan_times
"North Korean defectors down as reclusive nation tightens grip on border, Seoul says",7/12/2017,"The number of North Koreans escaping to the South declined sharply in the first half of this year as Pyongyang strengthened controls on its border with China, officials said Wednesday.

The Demilitarized Zone (DMZ) dividing the Korean Peninsula is one of the most heavily fortified places in the world, and almost all defectors to the South go to China first — where they still risk being repatriated if caught — and then on to a third country before traveling to the South.

In the six months to June, 593 people from the North entered South Korea, down 20.8 percent from the same period in 2016, statistics compiled by Seoul’s Unification Ministry showed.

As usual, most — 85 percent — were women. North Korean men who try to leave are likely to be rapidly identified as absent by their work units.

Pyongyang’s “tightened grip on the population and strengthened border controls add to the risks for potential defectors to take the plunge,” a ministry official said.

The Seoul-financed Korea Institute for National Unification said in a report that since late 2015, the North has been bolstering border controls and installing high-tension electric fencing along the Tumen River that forms the border with China.

A total of 30,805 North Koreans have fled to the South, many of them leaving during the famine years of the 1990s.

Arrivals peaked in 2009, but numbers have fallen more recently, with leader Kim Jong Un reportedly ordering crackdowns on defectors and tightened border controls after inheriting power from his father in 2011.",http://www.japantimes.co.jp/news/2017/07/12/asia-pacific/north-korean-defectors-reclusive-nations-tightens-grip-border-seoul-says/#.WW-RM4grK00,japan_times
The North Korean missile crisis,7/13/2017," On Jan. 2, then-U.S. President-elect Donald Trump, referring to North Korea’s effort to develop a nuclear weapon capable of reaching the United States, assured his Twitter followers, “It won’t happen!” But it has.

On July 4 — Independence Day in the U.S. — North Korea gave Americans an unwanted birthday present, successfully testing the Hwasong-14, an intercontinental ballistic missile that analysts say has the capacity to reach Alaska. All that is left now is for the North to miniaturize a nuclear warhead to be deliverable by such an ICBM — a milestone that is thought to be not more than a few years off.

The North’s latest ICBM test has transformed the theater of diplomacy and war in Asia, and possibly the world, as it implies a level of nuclear risk witnessed only once before, with the Soviet Union in 1962. Indeed, we are now witnessing a slow-motion repeat of the Cuban missile crisis. The question is whether today’s leaders will show the same level of strategic thinking that enabled U.S. President John F. Kennedy to defuse the threat in Cuba.

The Cuban crisis began on Oct. 16, 1962, when U.S. National Security Adviser McGeorge Bundy presented to Kennedy photographs showing that the Soviet Union, then led by Nikita Khrushchev, had placed on the island — just 145 km from Florida — ballistic missiles capable of launching nuclear weapons at major U.S. cities. Suddenly, the world was on the precipice of a nuclear exchange that could lead to global annihilation.

Kennedy moved quickly to discuss his options with key advisers and experts. Those deliberations were secretly recorded (known only by Kennedy and maybe his brother, Attorney General Robert Kennedy). The transcripts, released 35 years later in the book “The Kennedy Tapes,” reveal applied game theory at its best.

To secure the immediate removal of the Soviet missiles, the U.S. considered two main strategies: a naval blockade or an airstrike. Applying a form of reasoning common to game theory, Kennedy recognized the need to put himself in his opponents’ shoes — and the likelihood that his opponent was doing the same. He also considered earlier advice on nuclear strategy, which he had sought from some of the finest game theorists of the time, including Thomas Schelling, who would later win a Nobel Prize. He was mindful of the moral consequences of his moves. And he understood that, sometimes, a compromise can be superior to trying for total victory.

To capitalize on their “first-mover advantage” — the Soviets did not yet know that a U.S. reconnaissance plane had seen, much less photographed, the missiles — Kennedy and his advisers kept the threat to themselves for six days, revealing their discovery only when they were prepared to take action. On Oct. 22, Kennedy announced a naval blockade of Cuba.

The Soviet Union, also recognizing the risks of continued escalation, responded by proposing a compromise. Ultimately, the U.S. agreed to remove its own missiles from Turkey and Italy, in exchange for the removal of the Soviet missiles from Cuba. Neither side achieved total victory, but neither risked total destruction, either.

The North Korea crisis requires similar strategic thinking. Whether North Korea’s opponents have developed bigger weapons is no longer the issue. North Korea’s nuclear capabilities are sufficiently developed that threats of military action, or even an attack, will not bring about the desired outcome — namely, that North Korea gives up its nuclear weapons.

This is partly because, unlike the Cuban missile crisis, the North Korean crisis is a three-player game (at least). Like the U.S., China — North Korea’s neighbor, closest ally and biggest trading partner — has a major stake in the outcome.

Were the U.S. and its allies to attack the North, China — whose alliance with the country dates back to the Korean War — would probably jump to its northeastern neighbors’ defense. And China has the ability to escalate the war beyond Asia.

On the diplomatic front, it has often been suggested that China should use its considerable leverage to push North Korea to abandon its nuclear weapons voluntarily. But it is not clear that China has the ability — or even the will — to do so. China fears that if the North’s abandonment of its nuclear weapons led to eventual Korean reunification, U.S. soldiers — of which there are now 28,500 in South Korea — would arrive at its doorstep.

As for North Korea, its leaders know that giving up their nuclear weapons, without safeguards, would be tantamount to suicide. They have in mind the fate of countries like Iraq, Libya and Ukraine. So, like in 1962, there is a need for a strategic solution. Unlike in 1962, however, that solution cannot take the form of a single trade-off, because North Korea already has extensive nuclear capabilities, which it would not be willing to abandon in one fell swoop.

Instead, as Rajan Menon and others have suggested, there is a need to pursue incremental action. The North would roll back its nuclear program by a certain increment, while the U.S. would withdraw a share of its forces from South Korea. Once both sides reached that milestone, they would begin to progress toward the next one, and so on. There may have to be guarantees that, even if the Korean Peninsula is eventually reunified, U.S. troops will not be stationed in the North.

The North Korea crisis is not a classic “hawk-dove game” — or a game of chicken, which Bertrand Russell famously used to analyze nuclear strategy — in which the side that makes an uncompromising commitment to aggression wins. The players in the North Korean nuclear game must pursue gradual de-escalation, characterized by mutual concessions. The U.S. may not like the idea of rolling back some of its military presence in such a pivotal region, but it should not forget what Kennedy knew: There is no victor in a nuclear war.",http://www.japantimes.co.jp/opinion/2017/07/13/commentary/world-commentary/north-korean-missile-crisis/#.WW-RJ4grK00,japan_times
North Korea conducts new intercontinental missile test,28/07/2017,"North Korea has conducted a new intercontinental ballistic missile test, South Korea and the Pentagon say.
The missile reached an altitude of about 3,000km (1,865 miles) and landed in the sea off Japan, the Japanese national broadcaster NHK said.
It comes three weeks after North Korea's first ICBM test.
In response, the US and South Korean military conducted a live-firing exercise using surface-to-surface missiles, a US defence official said.
The missiles were fired into the ""territorial waters of South Korea along the east coast,"" a US military statement said.
The latest North Korean missile flew higher, further and for longer than the one in early July. Its launch has been condemned by a number of countries.
The test - the 14th carried out by North Korea in 2017 - is the latest to be conducted in defiance of a UN ban.
US President Donald Trump called it ""only the latest reckless and dangerous action by the North Korean regime"".
Jeffrey Lewis, a nuclear nonproliferation expert at the Middlebury Institute of International Studies in California, said that initial indications showed the latest missile had a range of about 10,000km - far enough to strike the west coast of the United States and beyond.
The Washington Post reported that Denver and possibly Chicago could now be in North Korea's range.
How the US might defend itself
Are Alaskans scared of Kim Jong-un?
The latest missile was launched at 23:41 (15:41 GMT) from an arms plant in Jagang province in the north of the country, the Pentagon said.
It is unusual for North Korea to launch a missile at night - the significance is as yet unclear. No missiles had been fired from Jagang province before, indicating a previously-unknown launch site is operational.
Japanese Chief Cabinet Secretary Yoshihide Suga said the missile flew for about 45 minutes - some six minutes longer than the ICBM tested in early July.
Is ICBM test a game-changer?
What the outside world can do
NHK said it reached an altitude of about 3,000km - about 200km higher than the previous ICBM. It landed about 1,000km from the launch site, the Pentagon said.
ICBMs can reach altitudes well outside the earth's atmosphere. Using sharp trajectories with high altitudes allows North Korea to avoid firing over neighbouring countries.n the latest reaction:
South Korea's President Moon Jae-in convened an emergency security meeting for the middle of the night
Japanese Prime Minister Shinzo Abe did the same, saying: ""The threat to Japan's security has become grave and real""
Pentagon spokesman Capt Jeff Davis said: ""We remain prepared to defend ourselves and our allies from any attack or provocation""
Despite ongoing tests, experts believe Pyongyang does not yet have the capability to miniaturise a nuclear warhead, fit it on to a long-range missile, and ensure it is protected until delivery to the target.
They say many of North Korea's missiles cannot accurately hit targets.
Does N Korea have the bomb?
Others, however, believe that at the rate it is going, Pyongyang may overcome these challenges and develop a nuclear weapon within five to 10 years that could strike the US.The US has installed a missile defence system in South Korea to combat the threat from the North, but the Terminal High-Altitude Area Defense system (Thaad) has angered many in the region, especially China.
South Korea's president said he wanted to hold talks with the US on deploying more of the Thaad units in the wake of the latest tests, Yonhap reported.
",http://www.bbc.com/news/world-asia-40757780,bbc
North Korea hackers 'want cash not secrets',28/07/2017,"The US has installed a missile defence system in South Korea to combat the threat from the North, but the Terminal High-Altitude Area Defense system (Thaad) has angered many in the region, especially China.
South Korea's president said he wanted to hold talks with the US on deploying more of the Thaad units in the wake of the latest tests, Yonhap reported. Strategy shift?
Perhaps the most high profile hack linked to North Korea in recent years targeted Sony's entertainment business in 2014 - wiping out massive amounts of data and leading to the online distribution of emails, personal and sensitive employee data as well as pirated copies of new movies.
However the FSI is not alone in saying there had been a shift away from this kind of disruptive, embarrassing hack, and towards cyber-attacks raising money.
Cyber-hacks season:
Smart gun hacked with cheap magnets
'Ransomware here to stay' warns Google
Cyber-security industry 'lacks empathy' claims Facebook
Ukraine braces for further cyber-attacks
Some cyber-security firms have also connected North Korea with the global ""WannaCry"" cyber attack that affected 150 countries in May and crippled parts of Britain's National Health Service (NHS). and demanded victims pay to access data.
US officials are also believed to be building a case linking last year's $81m (£62m) cyber-heist at the Bangladesh central bank to North Korean hackers.
And Russian firm Kaspersky has linked North Korea to attacks on Polish banks.
A report by FireEye says that North Korean cyber-operators are ""increasingly engaged in financially motivated activity"" and targeting virtual currency services.
""Actors are targeting virtual currency service providers such as exchanges and brokerage services based in South Korea,"" FireEye said.
""It is not yet clear how North Korean actors are leveraging virtual currencies, although targeting of these services demonstrates definite interest.""
North Korea is also reported to be mining the virtual currency Bitcoin.
Fireye said that such currencies were attractive to criminals because they could be traded in relative anonymity, compared with currencies that are managed and tracked by central banks. New hacking group
The FSI report identifies eight specific instances where hackers targeted South Korean government and commercial institutions.
The report also identified a hacking group named Andariel that ""has been active since at least May 2016,"" according to a translation of the document by Reuters.
Andariel is believed to have tried to steal bank card information by hacking into automated teller machines to either withdraw cash or sell the data on the black market.
It has also allegedly created malware to hack into online poker and other gambling sites and steal cash.
The FSI was launched by the South Korean government in 2015, following attacks on major South Korean banks.",http://www.bbc.com/news/business-40749059,bbc
